Prodi;Kode Mata Kuliah;Mata Kuliah;Jumlah Mahasiswa;Jumlah Mahasiswa per Ruangan;Kelas;Dosen;Ujian;Hari;Tanggal;Waktu;Ruangan;"No Urut Absen Mahasiswa
bit.ly/NomorUrutAbsensiUTSFIF2425 ";Request Kebutuhan Pengawas;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;42;21;IF-48-01;HWP;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0701;1 - 21;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;42;21;IF-48-01;HWP;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0702;22 - 42;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;42;21;IF-48-02;LDS;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0707;1 - 21;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;42;21;IF-48-02;LDS;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0709;22 - 42;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;48;24;IF-48-03;LDS;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0710;1 - 24;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;48;24;IF-48-03;LDS;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0711;25 - 48;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;46;23;IF-48-04;ALH;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0601;1 - 23;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;46;23;IF-48-04;ALH;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0602;24 - 46;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;46;23;IF-48-05;HWP;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0703;1 - 23;2;
S1 Informatika;CAK1BAB3;ALGORITMA DAN PEMROGRAMAN 1;46;23;IF-48-05;HWP;ONSITE;JUMAT;8 Nov 2024;08.00 - 10.15 WIB;TULT 0706;24 - 46;2;
